fiscal_year,year,item_description,value_in_crores,released_on,updated_on,data_source,source_url
2014-15,2014,Net National Income,10978237.952,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Other current transfers from RoW net,405154.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Net National Disposable Income,11383391.952,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Net Disposable Income of General Government,1002427.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Current taxes on income wealth etc ,699755.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Net Saving of Public Corporations,120999.013,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Net Saving of Private Corporations,891945.13,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,"Current taxes on income and wealth, paid by corporations",439433.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Personal Income,9628342.809,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,"Current taxes on income and wealth, paid by households",260322.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2014-15,2014,Household Disposable Income,9368020.809,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2015-16,2015,Net National Income,12162397.727,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2015-16,2015,Other current transfers from RoW net,413082.777,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2015-16,2015,Net National Disposable Income,12575480.504,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2015-16,2015,Net Disposable Income of General Government,1145914.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2015-16,2015,Current taxes on income wealth etc ,748582.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2015-16,2015,Net Saving of Public Corporations,139400.504,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2015-16,2015,Net Saving of Private Corporations,1005442.547,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2015-16,2015,"Current taxes on income and wealth, paid by corporations",459870.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2015-16,2015,Personal Income,10573435.453,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2015-16,2015,"Current taxes on income and wealth, paid by households",288712.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2015-16,2015,Household Disposable Income,10284723.453,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2016-17,2016,Net National Income,13623936.257,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2016-17,2016,Other current transfers from RoW net,379438.091,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2016-17,2016,Net National Disposable Income,14003374.347,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2016-17,2016,Net Disposable Income of General Government,1328289.562,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2016-17,2016,Current taxes on income wealth etc ,850971.637,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2016-17,2016,Net Saving of Public Corporations,185085.832,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2016-17,2016,Net Saving of Private Corporations,1063912.702,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2016-17,2016,"Current taxes on income and wealth, paid by corporations",545456.521,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2016-17,2016,Personal Income,11731601.367,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2016-17,2016,"Current taxes on income and wealth, paid by households",305515.116,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2016-17,2016,Household Disposable Income,11426086.251,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2017-18,2017,Net National Income,15140417.961,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2017-18,2017,Other current transfers from RoW net,405740.21,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2017-18,2017,Net National Disposable Income,15546158.171,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2017-18,2017,Net Disposable Income of General Government,1482498.31,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2017-18,2017,Current taxes on income wealth etc ,999069.035,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2017-18,2017,Net Saving of Public Corporations,257365.993,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2017-18,2017,Net Saving of Private Corporations,1138212.857,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2017-18,2017,"Current taxes on income and wealth, paid by corporations",595720.466,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2017-18,2017,Personal Income,13071429.579,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2017-18,2017,"Current taxes on income and wealth, paid by households",403348.569,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2017-18,2017,Household Disposable Income,12668081.01,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2018-19,2018,Net National Income,16713053.824,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2018-19,2018,Other current transfers from RoW net,493739.518,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2018-19,2018,Net National Disposable Income,17206793.342,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2018-19,2018,Net Disposable Income of General Government,1622899.402,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
